order_cost,estimate,range_low,range_high,training_records_within_10_dollars,full_records_within_10_dollars
6.1700000000,3.3818606924,0.0000000000,6.8942672298,19,32
10.0000000000,3.7847094606,0.2723029232,7.2971159979,76,119
20.0000000000,4.8365339204,1.3241273831,8.3489404578,265,417
30.0000000000,5.8883583803,2.3759518430,9.4007649177,394,642
40.0000000000,6.9401828402,3.4277763029,10.4525893776,311,537
50.0000000000,7.9920073001,4.4796007628,11.5044138375,178,320
75.0000000000,10.6215684498,7.1091619125,14.1339749872,38,63
100.0000000000,13.2511295996,9.7387230622,16.7635361369,11,24
150.0000000000,18.5102518990,14.9978453617,22.0226584364,5,6
200.0000000000,23.7693741985,20.2569676611,27.2817807358,1,1
243.0200000000,28.2943230249,24.7819164876,31.8067295623,4,4
