OrderNum,Date,Cost,Tip,Tip Percentage,Order Time,Delivery Time,Total Delivery Time,City,Housing
1,2017-07-05,42.83,10.0,0.2335,1900-01-01 18:08:00,1900-01-01 18:32:00,0:24,Frisco,Residential
2,2017-07-05,22.14,10.0,0.4517,1900-01-01 19:24:00,1900-01-01 19:56:00,0:32,Lewisville,Residential
3,2017-07-05,39.67,8.0,0.2017,1900-01-01 20:01:00,1900-01-01 20:49:00,0:48,Frisco,Residential
4,2017-07-05,61.86,10.0,0.1617,1900-01-01 20:10:00,1900-01-01 21:05:00,0:55,Frisco,Residential
5,2017-07-05,41.35,6.0,0.1451,1900-01-01 20:14:00,1900-01-01 21:18:00,1:04,Frisco,Residential
6,2017-07-07,30.9,7.0,0.2265,1900-01-01 18:00:00,1900-01-01 18:00:00,0:00,Plano,Residential
7,2017-07-07,33.02,6.98,0.2114,1900-01-01 17:58:00,1900-01-01 18:36:00,0:38,The Colony,Residential
8,2017-07-07,38.32,5.0,0.1305,1900-01-01 18:14:00,1900-01-01 18:50:00,0:36,Frisco,Residential
9,2017-07-07,24.09,5.91,0.2453,1900-01-01 19:06:00,1900-01-01 19:38:00,0:32,Frisco,Residential
10,2017-07-07,33.77,11.0,0.3257,1900-01-01 19:01:00,1900-01-01 19:55:00,0:54,Frisco,Residential
11,2017-07-07,41.89,5.0,0.1194,1900-01-01 19:15:00,1900-01-01 20:04:00,0:49,Frisco,Residential
12,2017-07-08,19.49,3.0,0.1539,1900-01-01 16:44:00,1900-01-01 17:09:00,0:25,Frisco,Residential
13,2017-07-08,25.93,4.07,0.157,1900-01-01 17:37:00,1900-01-01 17:52:00,0:15,Plano,Residential
14,2017-07-08,34.59,4.41,0.1275,1900-01-01 18:19:00,1900-01-01 18:43:00,0:24,Frisco,Residential
15,2017-07-08,29.77,5.0,0.168,1900-01-01 18:49:00,1900-01-01 19:12:00,0:23,Frisco,Apartment
16,2017-07-08,27.33,5.67,0.2075,1900-01-01 19:44:00,1900-01-01 20:06:00,0:22,Frisco,Residential
17,2017-07-09,25.66,5.0,0.1949,1900-01-01 17:12:00,1900-01-01 17:46:00,0:34,Frisco,Residential
18,2017-07-09,36.16,3.84,0.1062,1900-01-01 17:22:00,1900-01-01 18:02:00,0:40,Frisco,Residential
19,2017-07-09,17.54,5.0,0.2851,1900-01-01 17:23:00,1900-01-01 18:13:00,0:50,Frisco,Apartment
