"mapId","level","classId","party","routeScope","seeds","eligibleForAcceptance","leaderXpPerMinute","aggregateXpCreditsPerMinute","killsPerMinute","travelPercent","respawnWaitingPercent","recoveryPercent","damageTakenPerMinute","consumableCostPerMinute","deaths","companionDowns","companionDownMemberSeconds","visitedPlatformCount","routePlatformCount","stuckSeconds","cohortMapCount","cohortMedianXpPerMinute","deviationFromCohortMedianPercent","pacingWithinTarget","acceptanceNote","layoutRole","xpWithinTarget","dangerAdvantagePercent","comparisonCohortEligible","referenceMapCount","minimumSeedXpPerMinute","maximumSeedXpPerMinute","currencyPerMinute","pickedUpStacksPerMinute","potionUsesPerMinute","damageDealtPerMinute","materialsCollectedPerMinute","consumablesCollectedPerMinute","equippableEquipmentPerMinute","potentialEquipmentResalePerMinute","leaderDamageTakenPerMinute","travelSeconds","respawnWaitingSeconds","enemyHealingPerMinute","rawMovingPercent","engagedPursuitPercent","beforeXpPerMinute","pairedChangePercent","diagnosticChangePercent","comparisonEligibleForAcceptance","matchedResolvedRoute","status"
"cinderHollow","19","fighter","false","main","3","true","10417.867","10417.867","34.867","33.485","0.174","0","128.267","957.667","0","0","0","4","4","0","1","10417.867","0","false","Measured route coverage and sample protocol sufficient for review; class/map balance still requires cohort judgment.","trainingField",,,"true","1","10359","10522","3669.933","34.533","11.267","22629.6","32.267","0.467","0","0","128.267","100.456","0.522","0","55.93","32.193","11059.533","-5.802","-5.802","true","true","standalone-review"
"cinderHollow","19","mage","false","main","3","true","10717.2","10717.2","36.133","31.822","0.196","0","243.6","1127.667","0","0","0","4","4","0","1","10717.2","0","false","Measured route coverage and sample protocol sufficient for review; class/map balance still requires cohort judgment.","trainingField",,,"true","1","9903.8","11322.6","3698.8","31.933","13.267","23389.467","30.8","0.133","0","8.667","243.6","95.467","0.589","0","39.781","9.618","11498.4","-6.794","-6.794","true","true","standalone-review"
"cinderHollow","19","archer","false","main","3","true","11768.333","11768.333","39.267","34.929","0.026","0","219.933","1252.333","0","0","0","4","4","0","1","11768.333","0","false","Measured route coverage and sample protocol sufficient for review; class/map balance still requires cohort judgment.","trainingField",,,"true","1","11660.8","11901.8","4045.333","33.933","14.733","25233.133","31.467","0.4","0","89.6","219.933","104.789","0.078","0","39.611","7.741","12081.333","-2.591","-2.591","true","true","standalone-review"
"cinderHollow","19","fighter","true","main","3","true","10892.467","18121.267","36.4","35.007","0.037","0","86.467","929.333","0","81","106.089","4","4","0.022","1","10892.467","0","false","Measured route coverage and sample protocol sufficient for review; class/map balance still requires cohort judgment.","trainingField",,,"true","1","10373.4","11452","3762.333","36.933","10.933","25091.667","35.2","0.4","0","0","86.467","105.022","0.111","0","58.545","34.193","11439.267","-4.78","-4.78","true","true","standalone-review"
"cinderHollow","28","fighter","false","main","3","true","12458.933","12458.933","33.867","46.466","0.093","0","57.667","850","0","0","0","4","4","0","1","12458.933","0","false","Measured route coverage and sample protocol sufficient for review; class/map balance still requires cohort judgment.","trainingField",,,"true","1","11592.8","13369","4838.6","35.4","10","34360.667","32.6","0.733","0.067","18.4","57.667","139.4","0.278","0","62.107","25.452","12165.2","2.415","2.415","true","true","standalone-review"
"cinderHollow","28","mage","false","main","3","true","13347.6","13347.6","36.4","41.167","0.285","0","128","912.333","0","0","0","4","4","1.678","1","13347.6","0","false","Measured route coverage and sample protocol sufficient for review; class/map balance still requires cohort judgment.","trainingField",,,"true","1","13026.2","13591","5027.667","32.6","10.733","35224.2","30.867","0.333","0.067","50.267","128","123.5","0.856","0","47.096","9.404","14842.867","-10.074","-10.074","true","true","standalone-review"
"cinderHollow","28","archer","false","main","3","true","14605.2","14605.2","39.733","39.719","0.222","0","162.467","1099.333","0","0","0","4","4","0","1","14605.2","0","false","Measured route coverage and sample protocol sufficient for review; class/map balance still requires cohort judgment.","trainingField",,,"true","1","14495.6","14794","5611.133","34.333","12.933","40127.2","32.533","0.4","0","20.667","162.467","119.156","0.667","0","44.433","7.944","14421.533","1.274","1.274","true","true","standalone-review"
"cinderHollow","28","guardian","false","main","3","true","12307.6","12307.6","33.6","37.53","0.037","0","85.867","527","0","0","0","4","4","0","1","12307.6","0","false","Measured route coverage and sample protocol sufficient for review; class/map balance still requires cohort judgment.","trainingField",,,"true","1","11835.8","12824.2","4844.2","33.933","6.2","31735.8","31.733","0.467","0","0","85.867","112.589","0.111","0","51.926","22.259","12420.8","-0.911","-0.911","true","true","standalone-review"
"cinderHollow","28","berserker","false","main","3","true","11556.533","11556.533","31.467","37.696","0.067","0","22.867","736.667","0","0","0","4","4","0.111","1","11556.533","0","false","Measured route coverage and sample protocol sufficient for review; class/map balance still requires cohort judgment.","trainingField",,,"true","1","11092.6","12218.6","4467.467","31.533","8.667","30614.067","29.667","0.4","0.067","20.267","22.867","113.089","0.2","0","54.007","22.189","12340.2","-6.351","-6.351","true","true","standalone-review"
"cinderHollow","28","duelist","false","main","3","true","12010.333","12010.333","32.667","39.159","0.219","0","128.067","833","0","0","0","4","4","0","1","12010.333","0","false","Measured route coverage and sample protocol sufficient for review; class/map balance still requires cohort judgment.","trainingField",,,"true","1","11663.8","12230","4528.533","31.333","9.8","30908.267","29.933","0.733","0.067","31.2","128.067","117.478","0.656","0","53.211","21.689","12799.933","-6.169","-6.169","true","true","standalone-review"
"cinderHollow","28","fireMage","false","main","3","true","13185.6","13185.6","35.867","37.133","0.056","0","213.867","986","0","0","0","4","4","0","1","13185.6","0","false","Measured route coverage and sample protocol sufficient for review; class/map balance still requires cohort judgment.","trainingField",,,"true","1","12358.4","13761.4","5157.133","31.533","11.6","32802.4","29","0.467","0.133","17.333","213.867","111.4","0.167","0","43.267","8.544","13482.133","-2.199","-2.199","true","true","standalone-review"
"cinderHollow","28","runeMage","false","main","3","true","13113.067","13113.067","35.667","44.278","0.408","0","109.533","974.667","0","0","0","4","4","0","1","13113.067","0","false","Measured route coverage and sample protocol sufficient for review; class/map balance still requires cohort judgment.","trainingField",,,"true","1","12746.2","13481.8","5062.867","32.8","11.467","34570.667","30.8","0.533","0.133","32.933","109.533","132.833","1.222","0","54.241","14.352","13427.067","-2.339","-2.339","true","true","standalone-review"
"cinderHollow","28","stormMage","false","main","3","true","12307.467","12307.467","33.467","33.619","0.174","0","180.533","974.667","0","0","0","4","4","0","1","12307.467","0","false","Measured route coverage and sample protocol sufficient for review; class/map balance still requires cohort judgment.","trainingField",,,"true","1","12155.4","12384.6","4766.133","29.333","11.467","29704.667","26.733","0.867","0.267","74.4","180.533","100.855","0.522","0","39.274","7.833","13016.8","-5.449","-5.449","true","true","standalone-review"
"cinderHollow","28","sniper","false","main","3","true","10681.133","10681.133","29","23.47","0.126","0","540.667","974.667","0","0","0","4","4","1.678","1","10681.133","0","true","Measured route coverage and sample protocol sufficient for review; class/map balance still requires cohort judgment.","trainingField",,,"true","1","10325.4","11159.8","4091.533","27.6","11.467","25010.933","25.867","0.333","0","0","540.667","70.411","0.378","0","28.27","3.178","11625.067","-8.12","-8.12","true","true","standalone-review"
"cinderHollow","28","trapper","false","main","3","true","12260.533","12260.533","33.2","30.241","0.056","0","200.933","765","0","0","0","4","4","0","1","12260.533","0","false","Measured route coverage and sample protocol sufficient for review; class/map balance still requires cohort judgment.","trainingField",,,"true","1","12142.2","12399","4676.6","30.8","9","28699.333","29.6","0.2","0","0","200.933","90.722","0.167","0","45.122","16.889","12570.4","-2.465","-2.465","true","true","standalone-review"
"cinderHollow","28","beastArcher","false","main","3","true","12407.2","12407.2","33.733","28.2","0.092","0","374.4","923.667","0","0","0","4","4","0","1","12407.2","0","true","Measured route coverage and sample protocol sufficient for review; class/map balance still requires cohort judgment.","trainingField",,,"true","1","11972.6","12836.4","4729.067","31.2","10.867","31299.133","29.6","0.6","0.067","33.2","374.4","84.6","0.278","0","32.974","5.559","13161.2","-5.729","-5.729","true","true","standalone-review"
"cinderHollow","28","fighter","true","main","3","true","12855","21383.733","34.933","49.8","0.17","0","54","765","0","66","86.833","4","4","0","1","12855","0","false","Measured route coverage and sample protocol sufficient for review; class/map balance still requires cohort judgment.","trainingField",,,"true","1","11910","13434.2","5026.8","36","9","33995.933","33.133","0.733","0.133","83.333","54","149.4","0.511","0","67.656","28.826","13329.067","-3.557","-3.557","true","true","standalone-review"
