"scalar","mapId","level","mode","layoutRole","observedXpPerMinute","projectedXpPerMinute","beforeXpPerMinute","projectedChangeVersusBeforePercent","observedChangeVersusBeforePercent","ordinaryMedianXpPerMinute","ordinaryMedianDeviationPercent","deepPremiumPercent","targetViolationPoints","xpWithinTarget","observedKillsPerMinute","beforeKillsPerMinute"
"0.85","rustcoilRuins","19","fighter","trainingField","8744.533","8744.533","7777.467","12.434","12.434","9072.568","-3.616","","0","true","34.4","28.067"
"0.85","rustcoilRuins","19","mage","trainingField","8413.4","8413.4","7240.067","16.206","16.206","9093.52","-7.479","","0","true","33.4","26.067"
"0.85","rustcoilRuins","19","archer","trainingField","8301.8","8301.8","8003.667","3.725","3.725","9285.467","-10.594","","0","true","32.4","28.8"
"0.85","rustcoilRuins","19","party","trainingField","8833.333","8833.333","8196.4","7.771","7.771","9278.355","-4.796","","0","true","34.667","29.667"
"0.85","cinderHollow","19","fighter","trainingField","11059.533","9400.603","7807","20.412","41.662","9072.568","3.616","","0","true","35.667","25.733"
"0.85","cinderHollow","19","mage","trainingField","11498.4","9773.64","7703.533","26.872","49.261","9093.52","7.479","","0","true","37.6","25.667"
"0.85","cinderHollow","19","archer","trainingField","12081.333","10269.133","7843.933","30.918","54.021","9285.467","10.594","","0","true","39.6","26.133"
"0.85","cinderHollow","19","party","trainingField","11439.267","9723.377","7859.267","23.719","45.551","9278.355","4.796","","0","true","37.333","25.733"
"0.85","banditRidgeCamp","19","fighter","deepField","8828.8","8828.8","8974.067","-1.619","-1.619","9072.568","-2.687","-2.687","12.687","false","37.467","38.067"
"0.85","banditRidgeCamp","19","mage","deepField","9700.2","9700.2","9702.333","-0.022","-0.022","9093.52","6.672","6.672","3.328","false","41.067","41.067"
"0.85","banditRidgeCamp","19","archer","deepField","6366.467","6366.467","6617","-3.786","-3.786","9285.467","-31.436","-31.436","41.436","false","27","28.267"
"0.85","banditRidgeCamp","19","party","deepField","10100.133","10100.133","10884.067","-7.203","-7.203","9278.355","8.857","8.857","1.143","false","42.933","46.2"
"0.85","cinderHollow","28","fighter","trainingField","12165.2","10340.42","9247.533","11.818","31.551","10340.42","0","","0","true","33.2","26.067"
"0.85","cinderHollow","28","mage","trainingField","14842.867","12616.437","9546.467","32.158","55.48","12616.437","0","","0","true","40.667","26.867"
"0.85","cinderHollow","28","archer","trainingField","14421.533","12258.303","8783.867","39.555","64.182","12258.303","0","","0","true","39.4","24.667"
"0.85","cinderHollow","28","guardian","trainingField","12420.8","10557.68","8865.467","19.088","40.103","10557.68","0","","0","true","33.867","24.933"
"0.85","cinderHollow","28","berserker","trainingField","12340.2","10489.17","8572.867","22.353","43.945","10489.17","0","","0","true","33.733","24.333"
"0.85","cinderHollow","28","duelist","trainingField","12799.933","10879.943","8818.2","23.381","45.154","10879.943","0","","0","true","35.067","24.8"
"0.85","cinderHollow","28","fireMage","trainingField","13482.133","11459.813","9059.6","26.494","48.816","11459.813","0","","0","true","36.933","25.533"
"0.85","cinderHollow","28","runeMage","trainingField","13427.067","11413.007","9356.333","21.982","43.508","11413.007","0","","0","true","36.667","26.333"
"0.85","cinderHollow","28","stormMage","trainingField","13016.8","11064.28","9065.067","22.054","43.593","11064.28","0","","0","true","35.533","25.667"
"0.85","cinderHollow","28","sniper","trainingField","11625.067","9881.307","8033.267","23.005","44.712","9881.307","0","","0","true","31.733","22.733"
"0.85","cinderHollow","28","trapper","trainingField","12570.4","10684.84","8580.067","24.531","46.507","10684.84","0","","0","true","34.2","24.067"
"0.85","cinderHollow","28","beastArcher","trainingField","13161.2","11187.02","7965.467","40.444","65.228","11187.02","0","","0","true","35.933","22.4"
"0.85","cinderHollow","28","party","trainingField","13329.067","11329.707","9791.067","15.715","36.135","11329.707","0","","0","true","36.333","27.6"
"0.85","banditRidgeCamp","28","fighter","deepField","13520.667","13520.667","13086.467","3.318","3.318","10340.42","30.755","30.755","10.755","false","39.533","38.333"
"0.85","banditRidgeCamp","28","mage","deepField","14496.267","14496.267","15708.333","-7.716","-7.716","12616.437","14.9","14.9","0","true","42.4","45.8"
"0.85","banditRidgeCamp","28","archer","deepField","11558.067","11558.067","9242","25.06","25.06","12258.303","-5.712","-5.712","15.712","false","34","26.867"
"0.85","banditRidgeCamp","28","guardian","deepField","12532.933","12532.933","12122.067","3.389","3.389","10557.68","18.709","18.709","0","true","36.533","35.4"
"0.85","banditRidgeCamp","28","berserker","deepField","12437.733","12437.733","12802.067","-2.846","-2.846","10489.17","18.577","18.577","0","true","36.4","37.4"
"0.85","banditRidgeCamp","28","duelist","deepField","12869.2","12869.2","12241.6","5.127","5.127","10879.943","18.284","18.284","0","true","37.6","36"
"0.85","banditRidgeCamp","28","fireMage","deepField","14655.067","14655.067","14555.333","0.685","0.685","11459.813","27.882","27.882","7.882","false","42.933","42.467"
"0.85","banditRidgeCamp","28","runeMage","deepField","13573.733","13573.733","13399.467","1.301","1.301","11413.007","18.932","18.932","0","true","39.733","39.2"
"0.85","banditRidgeCamp","28","stormMage","deepField","13129.4","13129.4","13674.6","-3.987","-3.987","11064.28","18.665","18.665","0","true","38.533","40.133"
"0.85","banditRidgeCamp","28","sniper","deepField","7714.333","7714.333","6922.6","11.437","11.437","9881.307","-21.93","-21.93","31.93","false","22.6","20.4"
