"mapId","level","classId","party","eligibleForComparison","mainXpPerMinute","optionalXpPerMinute","optionalXpAdvantagePercent","moderateRewardPremium","mainLeaderDamageTakenPerMinute","optionalLeaderDamageTakenPerMinute","mainConsumableCostPerMinute","optionalConsumableCostPerMinute","mainDeaths","optionalDeaths","mainCompanionDowns","optionalCompanionDowns","mainCompanionDownMemberSeconds","optionalCompanionDownMemberSeconds","mainTravelPercent","optionalTravelPercent","mainRespawnWaitingPercent","optionalRespawnWaitingPercent","mainStuckSeconds","optionalStuckSeconds","higherCompanionRecoveryBurden","higherMeasuredPressure","mapName"
"greenrootMeadow","3","fighter","false","true","818.133","815.8","-0.285","false","39.867","74.733","277.667","331.333","0","0","0","0","0","0","50.767","52.278","0.148","0","0","0","false","true","Starfall Verge"
"greenrootMeadow","3","mage","false","true","782.867","753.133","-3.798","false","39.2","90.6","231","275.333","0","0","0","0","0","0","51.371","52.263","0.148","0","2.278","0","false","true","Starfall Verge"
"greenrootMeadow","3","archer","false","true","803.2","678.733","-15.496","false","42.8","63","317.333","394.333","0","0","0","0","0","0","49.882","46.904","0.233","0","2.244","0","false","true","Starfall Verge"
"greenrootMeadow","3","fighter","true","true","890.6","918.467","3.129","false","26.533","55.067","228.667","270.667","0","0","25","27","32.7","35.833","47.893","51.793","0.13","0","0","0","true","true","Starfall Verge"
"greenrootMeadow","6","fighter","false","true","1269.533","1216.467","-4.18","false","62.867","84.867","571.667","595","0","0","0","0","0","0","49.815","53","0.089","0","0","0.589","false","true","Starfall Verge"
"greenrootMeadow","6","mage","false","true","1397.2","1337.8","-4.251","false","49.867","81.4","497","506.333","0","0","0","0","0","0","46.337","53.556","0.326","0","0.089","0.1","false","true","Starfall Verge"
"greenrootMeadow","6","archer","false","true","1434.6","1317.4","-8.17","false","38.333","76.667","499.333","578.667","0","0","0","0","0","0","49.655","49.407","0.489","0","0","2.155","false","true","Starfall Verge"
"greenrootMeadow","6","fighter","true","true","1469.067","1344.933","-8.45","false","37","58","574","571.667","0","0","23","27","30.667","36","46.159","52.318","0.193","0.115","0.189","0","true","true","Starfall Verge"
"thornpathThicket","6","fighter","false","true","2164.533","1799.267","-16.875","false","91.133","111.133","578.667","611.333","0","0","0","0","0","0","47.185","55.274","0.123","0","0","0.211","false","true","Thornpath Thicket"
"thornpathThicket","6","mage","false","true","1867.467","1755.667","-5.987","false","134.8","193.867","541.333","536.667","0","0","0","0","0","0","46.956","50.818","0.155","0.026","0","0","false","true","Thornpath Thicket"
"thornpathThicket","6","archer","false","true","2119.867","1958.4","-7.617","false","157.667","179.467","611.333","555.333","0","0","0","0","0","0","43.574","50.607","0.318","0.089","0","0","false","true","Thornpath Thicket"
"thornpathThicket","6","fighter","true","true","2208.933","2247.667","1.754","false","46.6","111.067","557.667","616","0","0","57","67","76.478","89.167","54.819","58.933","0.281","0","0","0","true","true","Thornpath Thicket"
"thornpathThicket","14","fighter","false","true","3501.6","3212.733","-8.25","false","65.467","142.733","574","616","0","0","0","0","0","0","58.722","60.241","0.341","0.048","0","0","false","true","Thornpath Thicket"
"thornpathThicket","14","mage","false","true","3310.067","3142.267","-5.069","false","142.733","173.267","641.667","639.333","0","0","0","0","0","0","57.344","60.441","0.3","0","0","0","false","true","Thornpath Thicket"
"thornpathThicket","14","archer","false","true","3051.867","3134.8","2.717","false","163.467","147.067","634.667","632.333","0","0","0","0","0","0","55.048","61.408","0.441","0.107","0","0","false","false","Thornpath Thicket"
"thornpathThicket","14","fighter","true","true","3664.8","3606.933","-1.579","false","58.933","98.8","562.333","585.667","0","0","47","51","63.2","65.967","62.578","63.204","0.563","0.144","0","0","true","true","Thornpath Thicket"
"rustcoilRuins","14","fighter","false","true","4976.6","3477.933","-30.114","false","384.733","236.2","728","665","0","0","0","0","0","0","25.326","46.915","0","0.022","0","0.067","false","false","Rustcoil Ruins"
"rustcoilRuins","14","mage","false","true","4116.533","3172.667","-22.929","false","577.2","483.333","868","826","0","0","0","0","0","0","26.033","48.537","0","0.133","0.356","0","false","false","Rustcoil Ruins"
"rustcoilRuins","14","archer","false","true","3784.267","3082.133","-18.554","false","572.133","451.533","835.333","807.333","0","0","0","0","0","0","22.226","47.374","0","0.044","0","0","false","false","Rustcoil Ruins"
"rustcoilRuins","14","fighter","true","true","5946.067","4006.467","-32.62","false","277.733","117.733","690.667","620.667","0","0","59","76","79.833","101.333","25.167","55.067","0","0.111","0.044","0","true","true","Rustcoil Ruins"
"rustcoilRuins","19","fighter","false","true","8744.533","4239.6","-51.517","false","145","83.8","1014.333","663","0","0","0","0","0","0","30.489","65.155","0","0.13","0.289","0","false","false","Rustcoil Ruins"
"rustcoilRuins","19","mage","false","true","8413.4","4536.067","-46.085","false","251.467","221.8","1116.333","799","0","0","0","0","0","0","29.456","59.248","0","0.178","0","0","false","false","Rustcoil Ruins"
"rustcoilRuins","19","archer","false","true","8301.8","4993.867","-39.846","false","343.333","232.067","1331.667","940.667","0","0","0","0","0","0","29.693","58.556","0","0.141","0","0","false","false","Rustcoil Ruins"
"rustcoilRuins","19","fighter","true","true","8833.333","5119.2","-42.047","false","149.867","96.733","963.333","708.333","0","0","72","74","96.733","98.678","34.578","62.126","0","0.152","0.078","0","true","true","Rustcoil Ruins"
"cinderHollow","19","fighter","false","true","11059.533","9875.733","-10.704","false","113.933","342.6","923.667","1003","0","0","0","0","0","0","35.637","37.237","0.044","0.033","0","0","false","true","Cinder Hollow"
"cinderHollow","19","mage","false","true","11498.4","10123.667","-11.956","false","203.867","281.133","1110.667","1025.667","0","0","0","0","0","0","33.219","42.019","0.096","0.2","0","0.933","false","true","Cinder Hollow"
"cinderHollow","19","archer","false","true","12081.333","10497.333","-13.111","false","238.2","423.867","1252.333","1235.333","0","0","0","0","0","0","35.381","40.7","0.107","0.126","0","0.133","false","true","Cinder Hollow"
"cinderHollow","19","fighter","true","true","11439.267","10598","-7.354","false","131.133","237.667","906.667","918","0","0","88","92","115.511","122.667","39.341","38.922","0.193","0.156","0","0.511","true","true","Cinder Hollow"
"banditRidgeCamp","19","fighter","false","true","8828.8","7582.333","-14.118","false","165","305","980.333","1014.333","0","0","0","0","0","0","19.167","28.478","0","0","0","0.067","false","true","Bandit Ridge Camp"
"banditRidgeCamp","19","mage","false","true","9700.2","7993.533","-17.594","false","168.333","249.6","1133.333","1082.333","0","0","0","0","0","0","18.189","27.711","0.044","0.085","0","0","false","true","Bandit Ridge Camp"
"banditRidgeCamp","19","archer","false","true","6366.467","6796.867","6.76","false","180.933","277.933","1297.667","1246.667","0","0","0","0","0","0","14.274","24.3","0.015","0","0","1.189","false","true","Bandit Ridge Camp"
"banditRidgeCamp","19","fighter","true","true","10100.133","8761.133","-13.257","false","156.533","262.933","986","986","0","0","53","73","71.711","97.144","17.393","27.004","0","0","0","0.111","true","true","Bandit Ridge Camp"
"cinderHollow","28","fighter","false","true","12165.2","11039.333","-9.255","false","56.733","185.067","787.667","810.333","0","0","0","0","0","0","50.493","50.037","0.2","0.333","0.367","0","false","true","Cinder Hollow"
"cinderHollow","28","mage","false","true","14842.867","11799.933","-20.501","false","180.867","232.2","980.333","884","0","0","0","0","0","0","40.378","51.871","0.119","0.296","0","0","false","true","Cinder Hollow"
"cinderHollow","28","archer","false","true","14421.533","10917.133","-24.3","false","209.867","301.533","1122","1025.667","0","0","0","0","0","0","40.441","50.767","0.285","0.148","0","2.333","false","true","Cinder Hollow"
"cinderHollow","28","guardian","false","true","12420.8","10493.2","-15.519","false","64.733","163.467","515.667","504.333","0","0","0","0","0","0","37.263","44.5","0.118","0.052","0.289","0","false","true","Cinder Hollow"
"cinderHollow","28","berserker","false","true","12340.2","10732.533","-13.028","false","77.867","200.4","714","731","0","0","0","0","0","0","41.578","47.426","0.285","0.185","0","0","false","true","Cinder Hollow"
"cinderHollow","28","duelist","false","true","12799.933","10454.533","-18.324","false","144.8","234.667","861.333","787.667","0","0","0","0","0","0","38.633","47.396","0.163","0.141","0","0","false","true","Cinder Hollow"
"cinderHollow","28","fireMage","false","true","13482.133","11129.733","-17.448","false","149.467","280.733","918","918","0","0","0","0","0","0","42.726","50.589","0.381","0.322","0","0","false","true","Cinder Hollow"
"cinderHollow","28","runeMage","false","true","13427.067","11069.2","-17.561","false","115.733","244.4","923.667","952","0","0","0","0","0","0","48.222","48.83","0.204","0.159","0","0.256","false","true","Cinder Hollow"
"cinderHollow","28","stormMage","false","true","13016.8","11392.2","-12.481","false","221.067","277.267","1003","957.667","0","0","0","0","0","0","35.855","44.907","0.27","0.308","0","0","false","true","Cinder Hollow"
"cinderHollow","28","sniper","false","true","11625.067","10220.267","-12.084","false","551.267","331.733","991.667","770.667","0","0","0","0","0","0","24.1","38.6","0.063","0.052","2.211","0","false","false","Cinder Hollow"
"cinderHollow","28","trapper","false","true","12570.4","10509.133","-16.398","false","144.133","205.933","691.333","663","0","0","0","0","0","0","32.182","40.404","0.152","0.111","0","1.478","false","true","Cinder Hollow"
"cinderHollow","28","beastArcher","false","true","13161.2","10539.267","-19.922","false","379.267","332.4","895.333","782","0","0","0","0","0","0","28.785","43.896","0.089","0.148","0","0","false","false","Cinder Hollow"
"cinderHollow","28","fighter","true","true","13329.067","11494.267","-13.765","false","64.467","200.8","787.667","799","0","0","85","71","112.533","94.422","52.004","51.234","0.215","0.026","0","0","false","true","Cinder Hollow"
"banditRidgeCamp","28","fighter","false","true","13520.667","11268.267","-16.659","false","171.133","237.8","952","918","0","0","0","0","0","0","21.226","38.082","0","0","0","0","false","true","Bandit Ridge Camp"
"banditRidgeCamp","28","mage","false","true","14496.267","12812.267","-11.617","false","140.067","186.133","1003","974.667","0","0","0","0","0","0","23.363","33.863","0.078","0","0","0","false","true","Bandit Ridge Camp"
"banditRidgeCamp","28","archer","false","true","11558.067","8742.2","-24.363","false","200.4","241.6","1246.667","1218.333","0","0","0","0","0","0","17.648","25.993","0","0","0.567","0","false","true","Bandit Ridge Camp"
"banditRidgeCamp","28","guardian","false","true","12532.933","10292.6","-17.876","false","144.533","221.8","538.333","572.333","0","0","0","0","0","0","17.3","31.363","0","0","0","0","false","true","Bandit Ridge Camp"
"banditRidgeCamp","28","berserker","false","true","12437.733","10788.533","-13.26","false","144.8","265.533","742.333","799","0","0","0","0","0","0","25.83","32.881","0","0","0","0.344","false","true","Bandit Ridge Camp"
"banditRidgeCamp","28","duelist","false","true","12869.2","10213.6","-20.635","false","215.6","252.8","923.667","867","0","0","0","0","0","0","21.115","35.522","0","0","0.133","0","false","true","Bandit Ridge Camp"
"banditRidgeCamp","28","fireMage","false","true","14655.067","12159.6","-17.028","false","123.333","246","963.333","957.667","0","0","0","0","0","0","23.767","34.974","0.052","0","0","0.311","false","true","Bandit Ridge Camp"
"banditRidgeCamp","28","runeMage","false","true","13573.733","11719","-13.664","false","106.867","219.133","1014.333","1020","0","0","0","0","0","0","26.304","39.993","0.126","0","0","0","false","true","Bandit Ridge Camp"
"banditRidgeCamp","28","stormMage","false","true","13129.4","11539.6","-12.109","false","107.2","222.4","963.333","980.333","0","0","0","0","0","0","25.189","35.052","0.089","0","0","0","false","true","Bandit Ridge Camp"
"banditRidgeCamp","28","sniper","false","true","7714.333","8264.2","7.128","false","254.4","372.467","855.667","895.333","0","0","0","0","0","0","10.911","21.678","0","0","0","0","false","true","Bandit Ridge Camp"
"banditRidgeCamp","28","trapper","false","true","11730.6","10386.667","-11.457","false","138.467","189.8","742.333","685.667","0","0","0","0","0","0","18.1","33.911","0","0","0.011","0","false","true","Bandit Ridge Camp"
"banditRidgeCamp","28","beastArcher","false","true","8256.267","8951.6","8.422","false","168.267","301.2","912.333","867","0","0","0","0","0","0","15.559","22.337","0","0","0.078","1.1","false","true","Bandit Ridge Camp"
"banditRidgeCamp","28","fighter","true","true","15065.867","12931.333","-14.168","false","202.933","296.667","974.667","963.333","0","0","47","54","61.4","73.056","18.033","30.83","0","0","0","0.011","true","true","Bandit Ridge Camp"
"orebackQuarry","28","fighter","false","true","13322.867","9780.667","-26.587","false","153.933","74.933","1003","736.667","0","0","0","0","0","0","36.948","57.026","0","0.107","0","0","false","false","Oreback Quarry"
"orebackQuarry","28","mage","false","true","12782.2","9804","-23.3","false","444.8","154.667","1201.333","827.333","0","0","0","0","0","0","34.056","51.059","0.015","0.211","0","1.678","false","false","Oreback Quarry"
"orebackQuarry","28","archer","false","true","14282.733","9119.667","-36.149","false","448.667","125.733","1388.333","923.667","0","0","0","0","0","0","34.078","54.804","0.033","0.389","0.322","0","false","false","Oreback Quarry"
"orebackQuarry","28","guardian","false","true","11381.533","8581.867","-24.598","false","231.467","72.467","640.333","442","0","0","0","0","0","0","34.607","54.696","0","0.096","0","0","false","false","Oreback Quarry"
"orebackQuarry","28","berserker","false","true","12708.867","9478.467","-25.418","false","203.267","98.2","878.333","702.667","0","0","0","0","0","0","34.13","50.689","0.026","0.156","0","0","false","false","Oreback Quarry"
"orebackQuarry","28","duelist","false","true","12029.2","9173.533","-23.739","false","287.733","99.867","1025.667","770.667","0","0","0","0","0","0","29.463","49.43","0.007","0.041","0","0","false","false","Oreback Quarry"
"orebackQuarry","28","fireMage","false","true","11855.6","9015.8","-23.953","false","564.133","159.6","1246.667","872.667","0","0","0","0","0","0","27.941","45.778","0.037","0.085","0","0","false","false","Oreback Quarry"
"orebackQuarry","28","runeMage","false","true","13173.933","8887.267","-32.539","false","329.6","113.133","1195.667","867","0","0","0","0","0","0","34.478","58.352","0","0.378","0","0","false","false","Oreback Quarry"
"orebackQuarry","28","stormMage","false","true","10308.333","8593.533","-16.635","false","481.533","159.267","1229.667","906.667","0","0","0","0","0","0","28.148","42.519","0","0.122","1.489","0","false","false","Oreback Quarry"
"orebackQuarry","28","sniper","false","true","9017.333","8106.867","-10.097","false","715.067","311.4","1133.333","787.667","0","0","0","0","0","0","21.774","34.004","0.059","0.074","0","0.089","false","false","Oreback Quarry"
"orebackQuarry","28","trapper","false","true","10997.533","7968.2","-27.546","false","449.133","124.467","986","657.333","0","0","0","0","0","0","29.397","47.182","0","0.215","0","2.055","false","false","Oreback Quarry"
"orebackQuarry","28","beastArcher","false","true","11094.667","8373","-24.531","false","578.933","211.2","1054","799","0","0","0","0","0","0","25.426","41.5","0.026","0.104","0","0","false","false","Oreback Quarry"
"orebackQuarry","28","fighter","true","true","15447.267","12399.4","-19.731","false","193.333","68.533","1048.333","838.667","0","0","70","63","92.922","83.511","34.059","49.978","0","0.078","0","0.022","false","false","Oreback Quarry"
"ashglassPass","50","fighter","false","true","22867.6","21394.867","-6.44","false","223.533","439.133","949.333","1034.667","0","0","0","0","0","0","34.178","33.511","0.107","0.152","0","0.244","false","true","Ashglass Pass"
"ashglassPass","50","mage","false","true","25186.733","21260.333","-15.589","false","219.267","670.467","1056","1173.333","0","0","0","0","0","0","30.589","27.163","0.278","0.111","0","0.378","false","true","Ashglass Pass"
"ashglassPass","50","archer","false","true","27777.333","20812","-25.076","false","252.4","636.867","1173.333","1269.333","0","0","0","0","0","0","37.181","29.17","0.63","0.245","0","0","false","true","Ashglass Pass"
"ashglassPass","50","guardian","false","true","23719.4","19473.533","-17.9","false","140.4","234.533","885.333","842.667","0","0","0","0","0","0","34.863","37.456","0.237","0.281","0","0.222","false","true","Ashglass Pass"
