Primary_Key,Store_Number,vehicle_color,vehicle_make,vehicle_model,vehicle_type,vehicle_year,count
1,Store_0005,Beige,GMC,,SUV,,1
2,Store_0005,Beige,Nissan,Altima,Car,,2
3,Store_0005,Black,Dodge,Avenger,Car,2011,2
4,Store_0005,Black,Dodge,Durango,SUV,,1
5,Store_0005,Black,Ford,Escape,SUV,2016,1
6,Store_0005,Black,GMC,Acadia Limited,SUV,,1
7,Store_0005,Black,Hyundai,Palisade,SUV,2019,3
8,Store_0005,Black,,,Car,,5
9,Store_0005,Black,,,SUV,,5
10,Store_0005,Blue,Ford,Edge,SUV,2013,1
11,Store_0005,Blue,,,Car,,2
12,Store_0005,Gold,Dodge,,Van,,1
13,Store_0005,Gold,,,Car,,1
14,Store_0005,Gray,BMW,,Car,,1
15,Store_0005,Gray,,,Car,,2
16,Store_0005,Red,Ford,Fusion,Car,2012,1
17,Store_0005,Red,Ford,,SUV,,1
18,Store_0005,Red,,,SUV,,2
19,Store_0005,Silver,Chevrolet,Malibu,Car,2015,1
20,Store_0005,Silver,Kia,Soul,SUV,,2
21,Store_0005,Silver,Toyota,Corolla,Car,2022,1
22,Store_0005,Silver,,,Car,,1
23,Store_0005,Silver,,,SUV,,5
24,Store_0005,White,Chevrolet,Equinox,SUV,,2
25,Store_0005,White,Chevrolet,Equinox,SUV,2018,1
26,Store_0005,White,GMC,Terrain,SUV,,1
27,Store_0005,White,Nissan,Rogue,SUV,2014,1
28,Store_0005,White,,,Car,,5
29,Store_0005,White,,,SUV,,4
30,Store_0005,,Ford,,SUV,,2
31,Store_0005,,,,,,10
32,Store_0005,,,,On Foot,,6
33,Store_0005,,,,SUV,,4
34,Store_0006,Black,Dodge,RAM 250,Truck,,1
35,Store_0006,Black,Nissan,Altima,Car,,1
36,Store_0006,Black,,,SUV,,2
37,Store_0006,Blue,Volvo,,Car,,4
38,Store_0006,Gray,Honda,,Car,,1
39,Store_0006,Red,Subaru,,Car,,4
40,Store_0006,White,Lexus,,SUV,,1
41,Store_0006,,,,,,39
42,Store_0017,Black,Ford,EcoSport,SUV,,1
43,Store_0017,Black,Lexus,,Car,,1
44,Store_0017,Blue,Nissan,Rogue,SUV,2019,2
45,Store_0017,Blue,Subaru,,SUV,,1
46,Store_0017,Silver,Mercedes-Benz,,Car,,2
47,Store_0017,,,,,,2
48,Store_0018,Black,Toyota,4Runner,SUV,,1
49,Store_0018,,,,,,39
50,Store_0021,Black,INFINITI,,Car,,2
51,Store_0021,Black,,,Car,,1
52,Store_0021,Blue,Chevrolet,Cruze,Car,,4
53,Store_0021,Blue,,,Truck,,2
54,Store_0021,Gray,Buick,Enclave,SUV,,2
55,Store_0021,Gray,Buick,,Car,,2
56,Store_0021,Gray,Cadillac,ATS Coupe,Car,,2
57,Store_0021,Gray,Chevrolet,Traverse,SUV,,1
58,Store_0021,Gray,Ford,F-150,Truck,,1
59,Store_0021,Gray,Nissan,Altima,Car,,2
60,Store_0021,Gray,Toyota,Camry,Car,,4
61,Store_0021,Gray,,,Car,,6
62,Store_0021,Gray,,,Truck,,1
63,Store_0021,Gray,,,Van,,2
64,Store_0021,Red,Toyota,Corolla,Car,,1
65,Store_0021,Red,,,Car,,2
66,Store_0021,Silver,Chevrolet,Impala,Car,,1
67,Store_0021,Silver,Toyota,Camry,Car,,2
68,Store_0021,Silver,,,SUV,,3
69,Store_0021,White,Ford,F-150,Truck,,1
70,Store_0021,White,Jeep,,SUV,,1
71,Store_0021,White,,,Car,,4
72,Store_0021,,,,,,13
73,Store_0021,,,,On Foot,,2
74,Store_0031,Black,Nissan,Altima,Car,,2
75,Store_0031,,,,,,24
76,Store_0032,Black,,,Car,,1
77,Store_0032,Black,,,Truck,,2
78,Store_0032,Blue,,,Car,,1
79,Store_0032,Blue,,,SUV,,1
80,Store_0032,Maroon,,,SUV,,1
81,Store_0032,Silver,Honda,Accord,Car,,1
82,Store_0032,Silver,,,Car,,6
83,Store_0032,White,Cadillac,CTS,SUV,,2
84,Store_0032,,,,,,1
85,Store_0032,,,,Car,,1
86,Store_0032,,,,On Foot,,6
87,Store_0032,,,,Truck,,1
88,Store_0034,Black,Chevrolet,Suburban,,,2
89,Store_0034,Black,Jeep,Grand Cherokee,SUV,,1
90,Store_0034,Black,Lincoln,Navigator,SUV,,1
91,Store_0034,Black,Nissan,Sentra,Car,,2
92,Store_0034,Black,Toyota,Camry,Car,2023,9
93,Store_0034,Black,,,Car,,3
94,Store_0034,Blue,Nissan,,Car,,1
95,Store_0034,Gold,Buick,LeSabre,Car,,1
96,Store_0034,Gold,Toyota,Highlander,,2006,3
97,Store_0034,Gray,Buick,,Car,,1
98,Store_0034,Gray,MINI,Cooper,Car,2018,1
99,Store_0034,Gray,Volkswagen,,Car,,1
100,Store_0034,Gray,,,Car,,1
101,Store_0034,Green,,,Car,,1
102,Store_0034,Silver,INFINITI,,SUV,,1
103,Store_0034,Silver,Jaguar,,SUV,,1
104,Store_0034,Silver,Kia,,Car,,2
105,Store_0034,Silver,Toyota,Camry,,2013,1
106,Store_0034,Silver,Toyota,Camry,Car,2013,2
107,Store_0034,Silver,,,SUV,,1
108,Store_0034,White,Ford,Fusion,Car,,2
109,Store_0034,White,Kia,Optima,Car,2015,1
110,Store_0034,White,Toyota,Camry,Car,,3
111,Store_0034,White,,,Car,,2
112,Store_0034,White,,,SUV,,2
113,Store_0034,,,,,,46
114,Store_0034,,,,SUV,,2
115,Store_0036,Black,Ford,Focus,Car,,1
116,Store_0036,Black,Nissan,,SUV,,2
117,Store_0036,Black,Volkswagen,,,,1
118,Store_0036,Black,,,Car,,1
119,Store_0036,Blue,,,Car,,1
120,Store_0036,Gray,Ford,,Truck,,6
121,Store_0036,Gray,Jeep,,SUV,,1
122,Store_0036,Red,Kia,,Car,,1
123,Store_0036,Silver,Chevrolet,Camaro,Car,,1
124,Store_0036,Silver,Nissan,Rogue,SUV,,1
125,Store_0036,Silver,Toyota,,Car,,1
126,Store_0036,Silver,,,Car,,3
127,Store_0036,White,Ford,Explorer,SUV,,6
128,Store_0036,White,Ford,Mustang,Car,,1
129,Store_0036,White,GMC,,SUV,,2
130,Store_0036,White,Hyundai,,Car,,1
131,Store_0036,White,Lexus,RX 300,,,1
132,Store_0036,White,Mercury,Mountaineer,SUV,,1
133,Store_0036,White,,,Car,,2
134,Store_0036,White,,,SUV,,1
135,Store_0036,,,,,,73
136,Store_0036,,,,Car,,2
137,Store_0036,,,,Motorcycle,,1
138,Store_0036,,,,SUV,,3
139,Store_0038,Gray,Toyota,RAV4,SUV,,1
140,Store_0038,White,Toyota,Corolla,,,2
141,Store_0038,,,,,,28
142,Store_0043,Black,,,Car,,8
