dpci,void_flag,itm_ent_mthd,count,ovrd_prc_var,reg_rtl,sell_rtl,cf_prc_ovrd_amt,cf_price_dif,Item Price,Override Variance,pvr_adj_amt
001-01-0072, ,S,1,0,25.49,25.49,0,0,25.49,0,0
001-01-0321, ,S,1,0,25.99,25.99,0,0,25.99,0,0
001-05-2021, ,S,1,0,26.99,26.99,0,0,26.99,0,0
001-05-2516, ,S,1,0,21.99,21.99,0,0,21.99,0,0
001-05-3015, ,S,1,0,22.99,22.99,0,0,22.99,0,0
001-05-3028, ,S,1,0,23.73,23.73,0,0,23.73,0,0
001-05-3454, ,S,1,0,48.99,48.99,0,0,48.99,0,0
001-05-3566, ,S,1,0,27.99,27.99,0,0,27.99,0,0
001-05-3737, ,S,1,0,11.99,11.99,0,0,11.99,0,0
001-05-4104, ,S,1,0,22.99,22.99,0,0,22.99,0,0
001-05-5603,,SCANNED,1,0,24.99,24.99,0,0,24.99,0,0
001-05-5690, ,S,1,0,7.79,7.79,0,0,7.79,0,0
001-05-6015, ,S,1,0,24.99,24.99,0,0,24.99,0,0
001-05-6463, ,S,1,0,34.99,34.99,0,0,34.99,0,0
001-05-6870, ,S,1,0,37.99,37.99,0,0,37.99,0,0
001-05-7408, ,S,1,0,15.49,15.49,0,0,15.49,0,0
001-07-0558, ,S,1,0,11.99,11.99,0,0,11.99,0,0
001-07-3073,,SCANNED,1,0,17.99,17.99,0,0,17.99,0,0
001-07-6589, ,S,1,0,11.99,11.99,0,0,11.99,0,0
001-12-2540, ,S,1,0,11.99,11.99,0,0,11.99,0,0
001-12-5105, ,S,1,0,13.99,13.99,0,0,13.99,0,0
001-12-5844, ,S,1,0,11.99,11.99,0,0,11.99,0,0
001-63-0764, ,S,1,0,9.99,9.99,0,0,9.99,0,0
001-63-4451, ,S,1,0,10.99,10.99,0,0,10.99,0,0
001-63-6997, ,S,1,0,11.99,11.99,0,0,11.99,0,0
001-64-2038, ,S,1,0,11.99,11.99,0,0,11.99,0,0
002-02-0030, ,S,1,0,40,40,0,0,40,0,0
002-02-1041, ,S,1,0,20,20,0,0,20,0,0
002-02-3144, ,S,1,0,120,96,24,24,120,0.2,0
002-02-3837,,SCANNED,1,0,27,27,0,0,27,0,0
002-02-4920, ,S,1,0.3,60,42,18,18,60,0.3,0
002-02-6847, ,S,1,0,25,25,0,0,25,0,0
002-03-0974, ,S,1,0,24,24,0,0,24,0,0
002-03-0974, ,S,1,0,24,24,0,0,24,0,0
002-03-1299, ,S,1,0,12,10,2,2,12,0.166666667,0
002-03-1299, ,S,3,0,36,36,0,0,12,0,0
002-03-1865,,SCANNED,1,0,4,4,0,0,4,0,0
002-03-2817,,SCANNED,1,0,45,45,0,0,45,0,0
002-03-3123, ,S,1,0,36,36,0,0,36,0,0
002-03-3180, ,S,2,0,24,24,0,0,12,0,0
002-03-3927, ,S,3,0,51,51,0,0,17,0,0
002-03-4580, ,S,1,0,17,17,0,0,17,0,0
002-03-4625, ,S,1,0,5,5,0,0,5,0,0
002-03-4843, ,S,1,0,15,15,0,0,15,0,0
002-03-5792, ,S,2,0,8,8,0,0,4,0,0
002-03-7069, ,S,1,0,17,13.6,3.4,3.4,17,0.2,0
002-03-7069, ,S,2,0,34,27.2,6.8,6.8,17,0.2,0
002-03-7279, ,S,2,0,34,34,0,0,17,0,0
002-11-0201, ,S,1,0,29.7,29.7,0,0,29.7,0,0
002-11-0634, ,S,1,0,39,39,0,0,39,0,0
002-11-1455, ,S,1,0,105,105,0,0,105,0,0
002-11-1967, ,S,2,0,17.98,17.98,0,0,8.99,0,0
002-11-2355,,SCANNED,1,0,12.99,12.99,0,0,12.99,0,0
002-11-2831, ,S,1,0,110,110,0,0,110,0,0
002-11-3229, ,S,1,0,9.49,9.49,0,0,9.49,0,0
002-11-3229, ,S,1,0,9.49,9.49,0,0,9.49,0,0
002-11-3709, ,S,1,0,48,48,0,0,48,0,0
002-11-6264, ,S,1,0,129.99,129.99,0,0,129.99,0,0
002-11-6461, ,S,1,0,12.99,12.99,0,0,12.99,0,0
002-11-6461, ,S,1,0,13.99,13.99,0,0,13.99,0,0
002-11-7153,,SCANNED,1,0,25.49,25.49,0,0,25.49,0,0
002-11-7161, ,S,2,0,3.58,3.58,0,0,1.79,0,0
002-11-7161, ,S,6,0,25.14,25.14,0,0,4.19,0,0
002-19-4279,,SCANNED,1,0,10.5,10.5,0,0,10.5,0,0
002-19-6930,,KEYED,1,0,60,60,0,0,60,0,0
002-19-6930, ,S,1,0,42,42,0,0,42,0,0
002-34-5103, ,S,1,0,30,24,6,6,30,0.2,0
002-36-2451, ,S,1,0,174.5,174.5,0,0,174.5,0,0
002-36-5427, ,S,1,0,19.99,19.99,0,0,19.99,0,0
002-36-6683,,SCANNED,1,0,45.99,45.99,0,0,45.99,0,0
002-36-7509, ,S,1,0.51,269.99,132.29,137.7,137.7,269.99,0.51001889,0
002-39-5582, ,S,2,0.92,80,48,32,32,40,0.4,0
002-39-5582, ,S,2,0,80,48,32,32,40,0.4,0
002-45-3931, ,S,1,0,7.5,7.5,0,0,1.25,0,0
002-45-3931, ,S,2,0,25,25,0,0,12.5,0,0
002-45-7430, ,S,2,0.18,12,12,0,0,6,0,0
002-45-7430, ,S,2,0,12,12,0,0,6,0,0
002-56-0843,,SCANNED,1,0,70,49,21,21,70,0.3,0
002-56-2460, ,S,2,0,50,35,15,15,25,0.3,0
