Primary_Key,Reported_Date,Reported_Time,Reported_By_ID,DPCI,Package_Condition,Area_Found,Quantity
1,7/16/2023,10:41:15,EmployeeID_196,025-76-7874,PackageCondition_1,AroundFound_1,1
2,7/15/2023,10:38:28,EmployeeID_196,268-76-9246,PackageCondition_1,AroundFound_1,1
3,7/15/2023,10:44:00,EmployeeID_196,132-20-6445,PackageCondition_1,AroundFound_1,1
4,7/15/2023,12:40:39,EmployeeID_086,155-34-4184,PackageCondition_2,AroundFound_2,1
5,7/15/2023,17:15:05,EmployeeID_178,038-02-8281,PackageCondition_1,AroundFound_3,1
6,7/14/2023,8:06:42,EmployeeID_213,229-52-9429,PackageCondition_1,AroundFound_1,1
7,7/14/2023,11:33:24,EmployeeID_216,254-30-5302,PackageCondition_3,AroundFound_1,1
8,7/14/2023,13:21:58,EmployeeID_187,038-52-0898,PackageCondition_1,AroundFound_1,1
9,7/14/2023,14:31:35,EmployeeID_198,038-52-3590,PackageCondition_1,AroundFound_1,1
10,7/13/2023,10:08:49,EmployeeID_196,132-05-8522,PackageCondition_1,AroundFound_1,1
11,7/13/2023,15:08:19,EmployeeID_220,254-20-8349,PackageCondition_3,AroundFound_1,1
12,7/13/2023,15:44:17,EmployeeID_231,238-52-1683,PackageCondition_2,AroundFound_4,1
13,7/13/2023,17:29:47,EmployeeID_231,268-76-6441,PackageCondition_2,AroundFound_3,1
14,7/13/2023,18:26:49,EmployeeID_231,122-41-3383,PackageCondition_2,AroundFound_3,1
15,7/12/2023,14:21:42,EmployeeID_231,285-76-7820,PackageCondition_2,AroundFound_1,1
16,7/12/2023,15:56:36,EmployeeID_231,155-41-1435,PackageCondition_2,AroundFound_2,1
17,7/11/2023,8:42:49,EmployeeID_220,155-10-6226,PackageCondition_2,AroundFound_4,1
18,7/11/2023,8:43:04,EmployeeID_220,155-76-3920,PackageCondition_2,AroundFound_4,1
19,7/11/2023,8:43:22,EmployeeID_220,155-38-0415,PackageCondition_2,AroundFound_4,1
20,7/11/2023,8:43:37,EmployeeID_220,109-38-9113,PackageCondition_2,AroundFound_4,1
21,7/11/2023,9:39:07,EmployeeID_231,155-30-2544,PackageCondition_2,AroundFound_3,1
22,7/11/2023,15:32:23,EmployeeID_231,175-02-8045,PackageCondition_2,AroundFound_3,1
23,7/11/2023,17:44:05,EmployeeID_147,282-33-7544,PackageCondition_2,AroundFound_4,1
24,7/10/2023,6:33:22,EmployeeID_196,132-78-5888,PackageCondition_1,AroundFound_1,1
25,7/10/2023,10:54:03,EmployeeID_213,038-29-5385,PackageCondition_1,AroundFound_1,1
26,7/10/2023,11:45:41,EmployeeID_178,281-10-8016,PackageCondition_1,AroundFound_3,1
27,7/9/2023,9:53:01,EmployeeID_196,038-02-7859,PackageCondition_1,AroundFound_1,1
28,7/9/2023,9:53:19,EmployeeID_196,038-02-0382,PackageCondition_1,AroundFound_1,1
29,7/9/2023,12:59:23,EmployeeID_029,254-44-5503,PackageCondition_1,AroundFound_1,1
30,7/9/2023,13:20:23,EmployeeID_178,131-43-4561,PackageCondition_2,AroundFound_3,1
31,7/9/2023,14:59:30,EmployeeID_018,155-20-0910,PackageCondition_2,AroundFound_4,1
32,7/9/2023,15:25:50,EmployeeID_231,034-38-9708,PackageCondition_2,AroundFound_1,1
33,7/9/2023,19:25:43,EmployeeID_018,284-16-0160,PackageCondition_2,AroundFound_4,1
34,7/9/2023,19:25:51,EmployeeID_018,027-38-7339,PackageCondition_2,AroundFound_4,1
35,7/8/2023,10:42:49,EmployeeID_196,038-02-9155,PackageCondition_1,AroundFound_1,1
36,7/8/2023,13:39:23,EmployeeID_147,281-30-3953,PackageCondition_1,AroundFound_4,1
37,7/8/2023,15:55:25,EmployeeID_196,038-43-4620,PackageCondition_3,AroundFound_1,1
38,7/8/2023,15:55:29,EmployeeID_223,202-05-8403,PackageCondition_1,AroundFound_1,1
39,7/8/2023,17:38:53,EmployeeID_147,282-78-2060,PackageCondition_2,AroundFound_4,1
40,7/7/2023,16:39:08,EmployeeID_178,268-76-9825,PackageCondition_1,AroundFound_3,1
41,7/7/2023,17:49:13,EmployeeID_147,282-78-4289,PackageCondition_2,AroundFound_4,1
42,7/7/2023,17:49:27,EmployeeID_147,282-78-3238,PackageCondition_2,AroundFound_4,1
43,7/7/2023,17:50:25,EmployeeID_147,149-30-1573,PackageCondition_2,AroundFound_4,1
44,7/7/2023,18:58:23,EmployeeID_067,265-66-0420,PackageCondition_1,AroundFound_1,1
45,7/7/2023,18:58:41,EmployeeID_067,096-29-5508,PackageCondition_1,AroundFound_1,1
46,7/7/2023,19:00:06,EmployeeID_067,038-52-1566,PackageCondition_1,AroundFound_1,1
47,7/7/2023,20:43:21,EmployeeID_098,279-52-5820,PackageCondition_4,AroundFound_1,1
48,7/6/2023,9:43:32,EmployeeID_196,132-05-7345,PackageCondition_1,AroundFound_1,1
49,7/6/2023,13:18:46,EmployeeID_216,038-75-2038,PackageCondition_1,AroundFound_5,1
50,7/6/2023,13:39:07,EmployeeID_216,220-79-3977,PackageCondition_1,AroundFound_5,1
51,7/6/2023,15:12:23,EmployeeID_231,238-78-8748,PackageCondition_2,AroundFound_4,1
52,7/6/2023,15:15:06,EmployeeID_231,238-78-0336,PackageCondition_2,AroundFound_4,1
53,7/6/2023,15:15:15,EmployeeID_231,238-10-7011,PackageCondition_2,AroundFound_4,1
54,7/6/2023,15:15:27,EmployeeID_231,238-52-3970,PackageCondition_2,AroundFound_4,1
55,7/5/2023,14:32:28,EmployeeID_187,042-76-7009,PackageCondition_1,AroundFound_2,1
56,7/5/2023,15:46:10,EmployeeID_187,268-48-6891,PackageCondition_1,AroundFound_1,1
57,7/5/2023,18:27:34,EmployeeID_231,238-10-7487,PackageCondition_2,AroundFound_1,1
58,7/5/2023,19:12:27,EmployeeID_067,097-30-9872,PackageCondition_1,AroundFound_1,1
59,7/5/2023,19:12:41,EmployeeID_067,097-30-2411,PackageCondition_1,AroundFound_1,1
60,7/5/2023,20:39:06,EmployeeID_098,096-43-3005,PackageCondition_4,AroundFound_1,1
61,7/4/2023,15:19:26,EmployeeID_029,#N/A,PackageCondition_1,AroundFound_5,1
62,7/4/2023,17:43:28,EmployeeID_231,282-38-8000,PackageCondition_2,AroundFound_1,1
63,7/4/2023,17:43:54,EmployeeID_231,#N/A,PackageCondition_2,AroundFound_1,1
64,7/3/2023,12:46:19,EmployeeID_209,#N/A,PackageCondition_2,AroundFound_1,1
65,7/3/2023,12:54:30,EmployeeID_187,224-30-4126,PackageCondition_1,AroundFound_6,1
66,7/3/2023,12:55:53,EmployeeID_187,224-30-4126,PackageCondition_1,AroundFound_6,1
67,7/3/2023,14:12:16,EmployeeID_231,#N/A,PackageCondition_2,AroundFound_3,1
68,7/3/2023,15:03:51,EmployeeID_143,#N/A,PackageCondition_1,AroundFound_1,1
69,7/3/2023,15:41:06,EmployeeID_067,#N/A,PackageCondition_1,AroundFound_1,1
70,7/3/2023,17:00:56,EmployeeID_067,#N/A,PackageCondition_1,AroundFound_1,1
71,7/3/2023,20:07:21,EmployeeID_231,#N/A,PackageCondition_2,AroundFound_1,1
72,7/2/2023,6:48:25,EmployeeID_109,132-05-3911,PackageCondition_1,AroundFound_5,1
73,7/2/2023,12:45:15,EmployeeID_109,132-05-3938,PackageCondition_1,AroundFound_5,1
74,7/2/2023,15:02:35,EmployeeID_231,038-52-9461,PackageCondition_1,AroundFound_1,1
75,7/2/2023,15:56:46,EmployeeID_231,038-02-5767,PackageCondition_1,AroundFound_1,1
76,7/2/2023,15:56:58,EmployeeID_231,038-02-7029,PackageCondition_1,AroundFound_1,1
77,7/2/2023,15:57:14,EmployeeID_231,038-02-7185,PackageCondition_1,AroundFound_1,1
78,7/2/2023,16:09:15,EmployeeID_231,038-43-5750,PackageCondition_2,AroundFound_1,1
79,7/2/2023,16:33:27,EmployeeID_231,202-68-8922,PackageCondition_2,AroundFound_1,1
80,7/2/2023,16:41:13,EmployeeID_231,132-05-4567,PackageCondition_1,AroundFound_1,1
81,7/2/2023,17:35:58,EmployeeID_147,238-52-2475,PackageCondition_2,AroundFound_4,1
82,7/1/2023,11:40:44,EmployeeID_041,087-10-5839,PackageCondition_4,AroundFound_1,1
83,7/1/2023,12:55:46,EmployeeID_007,229-33-5801,PackageCondition_1,AroundFound_1,1
84,7/1/2023,14:47:39,EmployeeID_018,038-43-0237,PackageCondition_1,AroundFound_4,1
85,7/1/2023,17:21:01,EmployeeID_018,238-52-2431,PackageCondition_2,AroundFound_4,1
86,7/1/2023,17:50:52,EmployeeID_196,038-02-3164,PackageCondition_1,AroundFound_1,1
87,7/1/2023,20:06:36,EmployeeID_018,238-52-9656,PackageCondition_2,AroundFound_4,1
88,6/30/2023,7:57:32,EmployeeID_111,279-52-4287,PackageCondition_1,AroundFound_1,1
89,6/30/2023,9:45:33,EmployeeID_187,115-76-7807,PackageCondition_1,AroundFound_6,1
90,6/30/2023,12:37:50,EmployeeID_143,038-29-6005,PackageCondition_1,AroundFound_1,1
91,6/30/2023,12:38:35,EmployeeID_143,097-30-6705,PackageCondition_1,AroundFound_1,1
92,6/30/2023,19:11:16,EmployeeID_198,163-20-2986,PackageCondition_3,AroundFound_1,1
93,6/30/2023,19:30:33,EmployeeID_147,155-41-1435,PackageCondition_2,AroundFound_1,1
94,6/30/2023,20:09:36,EmployeeID_067,042-76-3194,PackageCondition_1,AroundFound_1,1
95,6/29/2023,14:31:22,EmployeeID_231,282-20-4122,PackageCondition_2,AroundFound_4,1
96,6/29/2023,19:57:55,EmployeeID_018,282-78-2621,PackageCondition_2,AroundFound_4,1
97,6/29/2023,21:34:03,EmployeeID_018,097-30-6950,PackageCondition_1,AroundFound_4,1
98,6/28/2023,9:05:12,EmployeeID_178,268-76-4343,PackageCondition_1,AroundFound_3,1
99,6/28/2023,16:57:19,EmployeeID_231,194-05-7023,PackageCondition_2,AroundFound_4,1
100,6/28/2023,19:27:16,EmployeeID_231,149-54-7298,PackageCondition_2,AroundFound_1,1
101,6/28/2023,19:34:47,EmployeeID_231,149-78-5133,PackageCondition_2,AroundFound_3,1
102,6/28/2023,20:36:01,EmployeeID_231,122-41-3805,PackageCondition_2,AroundFound_3,1
103,6/28/2023,21:35:53,EmployeeID_231,194-41-9665,PackageCondition_2,AroundFound_3,1
104,6/27/2023,8:59:12,EmployeeID_149,042-76-3194,PackageCondition_1,AroundFound_1,1
105,6/27/2023,9:13:20,EmployeeID_149,229-41-7373,PackageCondition_1,AroundFound_1,1
106,6/27/2023,9:44:19,EmployeeID_169,025-76-5889,PackageCondition_1,AroundFound_1,1
107,6/27/2023,12:02:18,EmployeeID_196,038-29-6998,PackageCondition_1,AroundFound_1,1
108,6/27/2023,13:24:04,EmployeeID_231,178-38-9039,PackageCondition_2,AroundFound_3,1
109,6/27/2023,13:24:15,EmployeeID_231,178-38-1340,PackageCondition_2,AroundFound_3,1
110,6/27/2023,18:15:55,EmployeeID_030,021-20-2674,PackageCondition_1,AroundFound_6,1
111,6/26/2023,11:55:54,EmployeeID_052,132-05-3938,PackageCondition_1,AroundFound_1,1
112,6/26/2023,13:58:30,EmployeeID_196,038-29-9545,PackageCondition_1,AroundFound_1,1
113,6/26/2023,14:11:12,EmployeeID_043,132-20-4958,PackageCondition_1,AroundFound_1,1
114,6/26/2023,20:35:37,EmployeeID_067,282-20-1177,PackageCondition_1,AroundFound_1,1
115,6/26/2023,21:21:51,EmployeeID_018,238-10-7535,PackageCondition_2,AroundFound_4,1
116,6/25/2023,9:58:33,EmployeeID_231,278-41-4183,PackageCondition_2,AroundFound_4,1
117,6/25/2023,9:58:42,EmployeeID_231,110-10-5490,PackageCondition_2,AroundFound_4,1
118,6/25/2023,11:20:44,EmployeeID_198,132-05-5851,PackageCondition_3,AroundFound_1,1
119,6/25/2023,11:20:58,EmployeeID_198,132-78-7346,PackageCondition_3,AroundFound_1,1
120,6/25/2023,11:21:15,EmployeeID_198,038-75-7328,PackageCondition_3,AroundFound_1,1
121,6/25/2023,12:56:50,EmployeeID_231,288-78-0174,PackageCondition_2,AroundFound_3,1
122,6/25/2023,13:37:24,EmployeeID_231,120-48-8197,PackageCondition_2,AroundFound_3,1
123,6/25/2023,13:39:00,EmployeeID_231,288-78-0174,PackageCondition_2,AroundFound_3,1
124,6/25/2023,16:53:13,EmployeeID_196,042-76-9118,PackageCondition_1,AroundFound_1,1
125,6/25/2023,16:53:33,EmployeeID_196,025-10-6858,PackageCondition_1,AroundFound_1,1
126,6/25/2023,17:23:40,EmployeeID_147,155-54-7853,PackageCondition_2,AroundFound_1,1
127,6/25/2023,18:30:24,EmployeeID_220,097-30-6705,PackageCondition_1,AroundFound_3,1
128,6/25/2023,20:52:13,EmployeeID_143,284-52-9189,PackageCondition_1,AroundFound_4,1
129,6/24/2023,9:53:58,EmployeeID_196,132-78-0148,PackageCondition_1,AroundFound_1,1
130,6/24/2023,10:03:45,EmployeeID_196,038-52-9509,PackageCondition_1,AroundFound_1,1
131,6/24/2023,13:02:59,EmployeeID_196,#N/A,PackageCondition_1,AroundFound_1,1
132,6/24/2023,16:56:48,EmployeeID_196,#N/A,PackageCondition_1,AroundFound_1,1
133,6/24/2023,18:12:32,EmployeeID_066,038-34-6830,PackageCondition_1,AroundFound_1,1
134,6/24/2023,18:13:41,EmployeeID_066,038-34-6830,PackageCondition_1,AroundFound_1,1
135,6/24/2023,18:18:06,EmployeeID_066,#N/A,PackageCondition_1,AroundFound_1,1
136,6/23/2023,9:28:24,EmployeeID_178,055-41-7379,PackageCondition_1,AroundFound_1,1
137,6/23/2023,12:10:49,EmployeeID_036,254-30-8099,PackageCondition_3,AroundFound_3,1
138,6/23/2023,14:29:08,EmployeeID_231,171-43-7828,PackageCondition_3,AroundFound_3,1
139,6/23/2023,17:11:41,EmployeeID_231,282-78-2025,PackageCondition_2,AroundFound_4,1
140,6/23/2023,17:11:50,EmployeeID_231,238-52-3923,PackageCondition_2,AroundFound_4,1
141,6/22/2023,10:49:09,EmployeeID_223,011-77-7347,PackageCondition_3,AroundFound_1,1
142,6/22/2023,11:05:42,EmployeeID_196,038-02-9727,PackageCondition_1,AroundFound_1,1
