Store_Number,Store_Type,Store_Format,State,Region,Group,District,Market
Store_1761,StoreType_5,StoreFormat_16,State_01,Region_3,Group_15,District_033,Market_152
Store_9661,StoreType_5,StoreFormat_31,State_01,Region_3,Group_06,District_108,Market_101
Store_3636,StoreType_5,StoreFormat_16,State_01,Region_3,Group_15,District_137,Market_152
Store_1881,StoreType_5,StoreFormat_31,State_32,Region_3,Group_02,District_185,Market_159
Store_8577,StoreType_5,StoreFormat_06,State_40,Region_4,Group_20,District_132,Market_094
Store_9906,StoreType_5,StoreFormat_06,State_28,Region_3,Group_08,District_123,Market_248
Store_9806,StoreType_5,StoreFormat_16,State_32,Region_3,Group_02,District_185,Market_159
Store_4923,StoreType_5,StoreFormat_04,State_28,Region_3,Group_08,District_003,Market_227
Store_9333,StoreType_5,StoreFormat_16,State_23,Region_3,Group_08,District_027,Market_048
Store_9368,StoreType_5,StoreFormat_27,State_01,Region_3,Group_15,District_176,Market_152
Store_5464,StoreType_5,StoreFormat_02,State_40,Region_4,Group_20,District_132,Market_094
Store_7715,StoreType_5,StoreFormat_16,State_09,Region_3,Group_06,District_081,Market_294
Store_8790,StoreType_5,StoreFormat_01,State_23,Region_3,Group_08,District_136,Market_257
Store_9877,StoreType_5,StoreFormat_16,State_40,Region_4,Group_20,District_181,Market_094
Store_6901,StoreType_5,StoreFormat_27,State_01,Region_3,Group_15,District_142,Market_152
Store_9077,StoreType_5,StoreFormat_16,State_46,Region_3,Group_07,District_008,Market_389
Store_4365,StoreType_5,StoreFormat_46,State_40,Region_4,Group_03,District_162,Market_203
Store_6009,StoreType_5,StoreFormat_16,State_43,Region_3,Group_06,District_081,Market_086
Store_3720,StoreType_5,StoreFormat_04,State_36,Region_3,Group_02,District_038,Market_159
Store_4501,StoreType_5,StoreFormat_10,State_23,Region_3,Group_08,District_136,Market_297
Store_7205,StoreType_5,StoreFormat_27,State_40,Region_4,Group_20,District_181,Market_135
Store_2458,StoreType_5,StoreFormat_06,State_08,Region_3,Group_07,District_153,Market_276
Store_7455,StoreType_5,StoreFormat_31,State_40,Region_4,Group_20,District_132,Market_132
Store_0197,StoreType_5,StoreFormat_06,State_09,Region_3,Group_06,District_081,Market_222
Store_2549,StoreType_5,StoreFormat_31,State_46,Region_3,Group_07,District_115,Market_219
Store_3790,StoreType_5,StoreFormat_16,State_48,Region_4,Group_22,District_146,Market_266
Store_9895,StoreType_5,StoreFormat_16,State_23,Region_3,Group_08,District_095,Market_163
Store_7204,StoreType_5,StoreFormat_46,State_40,Region_4,Group_20,District_187,Market_176
Store_5643,StoreType_5,StoreFormat_02,State_40,Region_4,Group_03,District_012,Market_176
Store_7660,StoreType_5,StoreFormat_27,State_01,Region_3,Group_15,District_032,Market_152
Store_5178,StoreType_5,StoreFormat_16,State_37,Region_3,Group_14,District_041,Market_212
Store_6351,StoreType_5,StoreFormat_19,State_37,Region_3,Group_14,District_102,Market_289
Store_4298,StoreType_5,StoreFormat_16,State_36,Region_3,Group_02,District_038,Market_367
Store_8102,StoreType_5,StoreFormat_04,State_37,Region_3,Group_02,District_010,Market_374
Store_3087,StoreType_5,StoreFormat_04,State_48,Region_4,Group_16,District_143,Market_404
Store_9261,StoreType_5,StoreFormat_31,State_48,Region_4,Group_16,District_090,Market_404
Store_8251,StoreType_5,StoreFormat_46,State_23,Region_3,Group_08,District_024,Market_048
Store_1429,StoreType_5,StoreFormat_06,State_48,Region_4,Group_16,District_105,Market_414
Store_4213,StoreType_5,StoreFormat_04,State_08,Region_3,Group_07,District_131,Market_209
Store_3754,StoreType_5,StoreFormat_31,State_23,Region_3,Group_08,District_026,Market_413
Store_6667,StoreType_5,StoreFormat_31,State_40,Region_4,Group_03,District_152,Market_204
Store_6564,StoreType_5,StoreFormat_19,State_07,Region_4,Group_22,District_112,Market_314
Store_3822,StoreType_5,StoreFormat_16,State_16,Region_3,Group_08,District_136,Market_180
Store_2387,StoreType_5,StoreFormat_04,State_11,Region_4,Group_22,District_114,Market_210
Store_1545,StoreType_5,StoreFormat_27,State_35,Region_3,Group_06,District_071,Market_097
Store_6853,StoreType_5,StoreFormat_46,State_40,Region_4,Group_03,District_036,Market_155
Store_2983,StoreType_5,StoreFormat_27,State_26,Region_1,Group_26,District_015,Market_065
Store_2341,StoreType_5,StoreFormat_37,State_26,Region_1,Group_05,District_084,Market_065
Store_4304,StoreType_5,StoreFormat_06,State_26,Region_1,Group_05,District_091,Market_371
Store_1361,StoreType_5,StoreFormat_27,State_26,Region_1,Group_05,District_084,Market_065
Store_5542,StoreType_5,StoreFormat_16,State_26,Region_1,Group_05,District_084,Market_065
Store_7285,StoreType_5,StoreFormat_16,State_26,Region_1,Group_05,District_155,Market_065
Store_9961,StoreType_5,StoreFormat_06,State_26,Region_1,Group_05,District_155,Market_065
Store_4096,StoreType_5,StoreFormat_06,State_26,Region_1,Group_27,District_077,Market_065
Store_8181,StoreType_5,StoreFormat_16,State_26,Region_1,Group_26,District_138,Market_065
Store_6345,StoreType_5,StoreFormat_02,State_26,Region_1,Group_26,District_138,Market_065
Store_6142,StoreType_5,StoreFormat_16,State_26,Region_1,Group_27,District_030,Market_065
Store_3926,StoreType_5,StoreFormat_11,State_26,Region_1,Group_27,District_044,Market_092
Store_6776,StoreType_5,StoreFormat_16,State_26,Region_1,Group_27,District_025,Market_092
Store_1438,StoreType_5,StoreFormat_27,State_26,Region_1,Group_27,District_044,Market_092
Store_7220,StoreType_5,StoreFormat_16,State_26,Region_1,Group_05,District_156,Market_371
Store_2804,StoreType_5,StoreFormat_06,State_01,Region_3,Group_06,District_108,Market_397
Store_1627,StoreType_5,StoreFormat_16,State_12,Region_3,Group_06,District_067,Market_200
Store_9500,StoreType_5,StoreFormat_02,State_40,Region_4,Group_20,District_168,Market_034
Store_2892,StoreType_5,StoreFormat_01,State_01,Region_3,Group_15,District_032,Market_152
Store_5886,StoreType_5,StoreFormat_46,State_40,Region_3,Group_08,District_003,Market_207
Store_6643,StoreType_5,StoreFormat_02,State_26,Region_1,Group_05,District_127,Market_065
Store_3428,StoreType_5,StoreFormat_11,State_08,Region_3,Group_07,District_153,Market_276
Store_5424,StoreType_5,StoreFormat_16,State_16,Region_3,Group_08,District_136,Market_342
Store_9277,StoreType_5,StoreFormat_16,State_26,Region_1,Group_05,District_128,Market_065
Store_9178,StoreType_5,StoreFormat_11,State_26,Region_1,Group_05,District_084,Market_065
Store_3897,StoreType_5,StoreFormat_02,State_26,Region_1,Group_26,District_075,Market_065
Store_7154,StoreType_5,StoreFormat_27,State_26,Region_1,Group_05,District_155,Market_065
