Evidence_ID (PK),Incident_ID,Merchandise_Evidence_DPCI,Evidence_Quantity,Evidence_Retail_Price
1,Incident_254,007-31-7873,2,849.99
2,Incident_254,007-31-2142,1,549.99
3,Incident_254,007-31-1453,1,429.99
4,Incident_452,037-31-4237,1,8.99
5,Incident_452,037-35-3506,1,18.49
6,Incident_318,002-49-2921,1,29.99
7,Incident_318,002-49-0728,1,59.99
8,Incident_318,002-49-0919,1,54.99
9,Incident_318,002-49-0044,1,59.99
10,Incident_318,022-51-0193,1,34.99
11,Incident_384,046-66-0023,1,10
12,Incident_384,046-64-8371,1,8.99
13,Incident_384,131-11-4229,1,4.99
14,Incident_384,131-11-4759,1,4.99
15,Incident_384,131-25-4724,1,10.49
16,Incident_384,007-51-0243,1,2.29
17,Incident_384,007-45-0648,1,5.99
18,Incident_384,028-66-0244,1,8
19,Incident_384,028-66-0155,1,8
20,Incident_383,086-35-0126,1,59.99
21,Incident_383,044-65-6767,1,18
22,Incident_383,044-35-9061,1,25
23,Incident_383,039-66-7912,1,39.99
24,Incident_383,014-63-2005,1,16
25,Incident_383,014-63-1765,1,28
26,Incident_383,014-63-0571,1,18
27,Incident_383,089-66-0953,1,17.99
28,Incident_383,089-66-0126,1,10.39
29,Incident_383,089-66-2937,1,10.39
30,Incident_383,001-11-3958,1,9.99
31,Incident_383,001-11-6518,1,29.99
32,Incident_383,001-11-6153,1,9.99
33,Incident_383,001-11-0483,1,9.99
34,Incident_383,001-11-2187,1,9.99
35,Incident_383,001-11-0157,1,21.99
36,Incident_383,001-11-2649,2,9.99
37,Incident_383,001-11-0115,1,9.99
38,Incident_383,007-65-3833,1,13.69
39,Incident_383,021-24-0888,1,349.99
40,Incident_383,042-31-0337,2,159.98
41,Incident_383,042-07-0833,1,119.99
42,Incident_383,019-11-1137,2,5
43,Incident_383,019-64-5069,1,5
44,Incident_383,019-33-0223,1,5
45,Incident_383,019-62-8430,1,5
46,Incident_383,019-62-1488,1,3
47,Incident_383,019-62-0259,1,5
48,Incident_383,007-64-6487,1,40
49,Incident_383,068-71-7391,1,5.29
50,Incident_383,008-24-7038,1,39.99
51,Incident_383,002-48-4993,1,20
